playtime,joincount,game_interactions,tnt_ratio,grieferbool
610,25,649,27,0
672,18,13,19,0
45,6,192,22,1
47,11,330,10,1
9,5,304,30,1
48,12,278,17,1
299,3,388,13,0
207,43,481,29,0
1,6,384,28,1
862,48,60,29,0
39,15,477,23,1
1,18,281,16,1
498,43,566,17,0
805,14,805,21,0
758,31,927,16,0
238,19,248,17,0
28,13,291,18,1
19,19,353,21,1
1,14,329,27,1
256,38,385,25,0
798,40,522,23,0
96,28,201,28,0
25,3,459,24,1
36,1,430,22,1
31,7,251,28,1
235,41,16,9,0
37,11,486,30,1
9,7,382,23,1
34,7,225,28,1
118,17,466,15,0
49,12,49,24,1
39,1,314,30,1
392,3,589,0,0
486,44,813,3,0
11,3,389,29,1
664,1,574,25,0
28,7,261,25,1
253,7,325,1,0
730,43,317,23,0
8,2,329,27,1
39,4,225,24,1
30,4,177,21,1
49,3,19,29,1
48,8,384,19,1
1,3,336,17,1
958,43,546,25,0
708,0,33,21,0
20,11,312,17,1
15,13,242,15,1
216,2,92,28,0
21,16,133,18,1
659,13,188,4,0
6,15,134,20,1
725,2,413,6,0
841,2,540,29,0
629,30,665,10,0
772,2,656,8,0
9,6,186,25,1
593,3,975,21,0
511,38,95,3,0
10,2,184,19,1
9,18,147,27,1
66,46,15,21,0
10,0,431,15,1
981,20,64,20,0
364,19,566,2,0
202,29,986,30,0
7,20,109,25,1
27,12,165,28,1
12,7,333,11,1
28,1,279,15,1
723,8,969,9,0
26,0,65,17,1
6,10,246,15,1
18,18,272,28,1
490,50,21,12,0
696,12,124,23,0
364,18,265,29,0
17,12,399,13,1
815,19,613,30,0
557,37,165,13,0
10,10,125,20,1
203,17,153,6,0
991,13,645,29,0
861,33,38,23,0
11,6,485,12,1
16,19,387,19,1
1,19,367,22,1
710,1,570,21,0
535,38,413,4,0
348,45,900,23,0
40,2,323,15,1
26,19,439,21,1
842,37,372,15,0
34,15,422,11,1
148,32,655,4,0
28,19,47,24,1
25,7,305,14,1
45,3,174,24,1
15,20,442,27,1
49,19,500,23,1
12,3,401,18,1
375,1,908,20,0
10,17,435,25,1
677,38,229,0,0
688,11,636,4,0
565,22,734,23,0
583,49,365,11,0
23,17,251,23,1
9,16,338,13,1
13,7,155,24,1
36,8,396,17,1
48,10,492,17,1
351,29,189,3,0
920,18,261,0,0
45,17,130,12,1
45,18,455,23,1
579,22,695,3,0
50,11,162,10,1
436,28,772,25,0
1,11,402,12,1
36,3,111,22,1
228,48,802,10,0
695,25,40,11,0
46,0,114,21,1
765,34,742,25,0
782,36,214,16,0
41,5,460,20,1
38,9,154,12,1
809,3,188,22,0
899,20,331,7,0
349,23,843,14,0
929,44,143,21,0
636,39,299,6,0
21,3,460,28,1
637,18,552,18,0
23,5,155,21,1
813,8,207,3,0
445,14,904,22,0
31,6,321,18,1
20,7,277,26,1
802,26,144,26,0
359,11,354,29,0
16,12,119,24,1
13,7,486,18,1
0,20,399,25,1
28,10,319,23,1
12,14,443,11,1
29,16,454,27,1
799,8,146,17,0
536,33,838,12,0
414,32,268,17,0
11,8,422,27,1
669,10,411,8,0
43,7,129,21,1
28,6,32,12,1
47,13,337,17,1
25,2,95,20,1
311,10,821,12,0
42,1,354,19,1
33,8,284,30,1
41,8,418,19,1
739,10,794,9,0
7,19,478,23,1
838,23,938,17,0
975,35,360,29,0
821,28,965,22,0
108,1,97,4,0
678,25,906,11,0
31,14,3,30,1
472,9,58,18,0
29,15,467,29,1
504,30,180,6,0
17,18,420,17,1
49,6,378,23,1
21,15,275,17,1
44,8,414,25,1
41,3,300,29,1
712,2,257,16,0
5,5,214,27,1
12,0,95,26,1
409,17,692,8,0
694,8,540,9,0
597,25,867,29,0
722,10,506,2,0
758,45,164,1,0
479,16,534,22,0
649,9,888,1,0
934,34,456,9,0
811,8,202,22,0
442,8,698,23,0
13,2,410,25,1
31,10,316,23,1
206,15,402,4,0
797,10,374,9,0
875,17,12,27,0
24,16,95,13,1
49,13,328,22,1
43,6,392,10,1
28,3,331,23,1
843,27,654,24,0
108,18,866,30,0
1000,32,520,27,0
374,5,468,18,0
26,10,115,12,1
563,0,36,10,0
35,19,84,26,1
46,1,18,20,1
47,4,270,10,1
40,2,282,10,1
10,0,388,13,1
26,18,249,27,1
27,9,183,18,1
36,1,479,10,1
28,10,200,20,1
904,2,372,2,0
46,18,153,13,1
22,18,367,13,1
49,16,27,10,1
246,19,36,29,0
29,1,86,17,1
33,12,363,28,1
908,39,580,5,0
30,0,78,22,1
978,35,894,3,0
278,30,416,6,0
5,2,241,19,1
434,34,967,26,0
38,0,492,23,1
291,10,476,10,0
409,33,869,27,0
37,6,422,15,1
7,20,59,28,1
45,9,358,24,1
216,41,181,0,0
13,6,267,11,1
14,11,232,15,1
686,10,703,21,0
975,12,214,27,0
4,8,35,19,1
29,20,73,19,1
365,23,760,7,0
19,17,421,30,1
71,43,609,14,0
10,18,272,15,1
12,11,187,25,1
42,16,143,10,1
22,14,366,11,1
546,25,382,22,0
49,13,141,16,1
27,16,238,24,1
764,24,859,0,0
6,12,45,23,1
7,18,38,12,1
49,7,234,21,1
760,25,82,16,0
334,34,107,14,0
675,48,78,26,0
744,9,455,12,0
40,0,455,23,1
3,14,658,14,0
387,4,344,8,0
5,13,383,21,1
0,17,213,27,1
887,47,569,10,0
20,1,371,19,1
20,10,477,29,1
339,32,302,5,0
3,2,220,21,1
9,5,90,24,1
17,5,241,12,1
809,40,681,4,0
38,18,231,10,1
10,3,214,15,1
483,42,456,0,0
454,39,334,0,0
7,13,131,29,1
9,0,193,11,1
1,0,279,10,1
25,14,44,22,1
791,41,897,5,0
679,42,997,29,0
221,14,149,8,0
501,12,457,13,0
579,18,511,30,0
26,15,367,21,1
892,33,266,27,0
621,35,477,11,0
29,19,339,21,1
23,12,492,27,1
888,17,626,26,0
14,18,387,15,1
28,50,491,22,0
230,35,400,18,0
480,31,507,6,0
243,16,80,15,0
41,11,240,11,1
4,10,446,17,1
647,16,135,9,0
45,22,898,8,0
39,18,25,16,1
27,19,108,17,1
964,5,712,23,0
44,1,235,22,1
294,36,859,17,0
31,7,293,11,1
407,31,424,24,0
786,39,432,16,0
231,24,645,24,0
37,4,381,10,1
14,4,484,23,1
173,37,787,14,0
27,11,150,18,1
299,29,844,4,0
1,16,349,29,1
49,5,293,12,1
738,39,956,18,0
40,3,33,18,1
42,8,477,12,1
798,49,97,6,0
824,47,5,8,0
941,3,702,23,0
934,31,22,19,0
42,10,6,23,1
2,8,263,29,1
4,15,367,25,1
239,45,355,25,0
49,7,52,19,1
154,50,525,17,0
17,6,301,11,1
837,8,449,7,0
46,1,250,19,1
31,6,449,11,1
538,26,710,23,0
565,23,41,11,0
1,7,499,21,1
445,46,267,17,0
19,14,46,27,1
751,10,171,12,0
932,28,95,17,0
10,8,183,12,1
525,44,74,23,0
29,12,487,29,1
14,18,212,18,1
529,18,951,30,0
21,20,150,29,1
40,2,312,13,1
15,0,438,10,1
25,2,472,20,1
828,14,650,29,0
12,4,25,23,1
246,2,143,15,0
525,30,341,22,0
35,7,308,25,1
38,6,412,10,1
923,19,178,11,0
367,0,454,20,0
502,34,228,23,0
827,17,960,27,0
38,6,36,27,1
24,19,126,25,1
6,15,437,27,1
46,12,80,13,1
854,13,390,21,0
5,8,29,20,1
25,16,346,12,0
38,1,315,21,1
161,36,423,1,0
436,37,201,20,0
22,3,225,11,1
17,14,134,29,1
131,18,573,14,0
270,31,544,6,0
412,20,290,18,0
24,3,307,22,1
891,2,326,11,0
27,7,141,22,1
46,17,86,17,1
41,10,156,14,1
46,7,340,24,1
48,3,114,21,1
461,10,707,17,0
667,10,874,6,0
137,28,600,7,0
955,32,691,9,0
245,47,141,8,0
16,25,864,20,0
4,8,276,16,0
769,22,494,17,0
23,20,297,27,1
37,18,8,18,1
111,45,348,18,0
120,48,297,27,0
43,0,205,25,1
35,11,205,27,1
23,14,97,14,1
28,5,205,22,1
12,17,305,28,1
26,9,470,25,1
994,44,466,23,0
138,13,700,5,0
48,1,104,23,1
43,3,9,15,1
42,14,12,13,1
89,26,497,30,0
373,32,635,3,0
939,27,663,13,0
8,5,65,27,1
24,10,148,16,1
41,13,337,18,1
721,5,458,29,0
461,27,823,0,0
323,33,497,22,0
817,38,56,28,0
16,15,431,30,1
17,10,100,24,1
18,9,180,14,1
31,16,489,23,1
12,18,407,24,1
336,49,661,6,0
7,20,431,20,1
911,0,910,25,0
36,19,150,26,1
291,41,722,24,0
3,17,402,11,1
49,1,347,19,1
781,28,300,23,0
171,38,549,19,0
33,2,222,30,1
819,7,683,2,0
125,35,868,19,0
40,11,448,28,1
343,50,564,3,0
931,8,532,3,0
31,11,129,24,1
563,13,396,28,0
40,6,24,20,1
22,9,251,19,1
224,10,688,0,0
30,7,402,18,1
245,41,5,12,0
48,10,418,24,1
47,10,491,18,1
343,36,563,17,0
569,31,812,4,0
47,10,120,18,1
3,8,270,18,1
397,4,208,30,0
26,1,120,13,1
763,4,158,24,0
277,6,944,2,0
47,1,497,15,1
3,18,181,24,1
49,14,406,19,1
1,2,247,13,1
66,12,439,3,0
664,8,592,14,0
30,9,366,12,1
205,32,597,9,0
46,18,473,25,1
2,2,417,25,1
35,17,154,11,1
23,14,21,19,1
11,14,326,11,1
342,41,619,13,0
24,8,313,30,1
0,10,90,26,1
2,19,437,22,1
761,14,479,7,0
853,49,782,15,0
795,36,391,30,0
20,17,387,12,0
323,33,327,2,0
9,9,337,19,1
37,11,201,25,1
649,5,736,6,0
65,36,551,23,0
37,10,407,20,1
720,12,842,12,0
660,37,801,24,0
665,17,323,22,0
42,11,199,15,1
904,2,100,16,0
405,15,536,27,0
236,7,77,25,0
24,18,125,24,1
14,16,395,20,1
15,14,463,23,1
48,7,14,27,1
14,0,468,27,1
49,1,448,21,1
24,2,128,13,1
312,0,207,0,0
41,20,438,15,1
387,17,844,24,0
473,32,156,11,0
183,44,651,4,0
57,5,497,22,0
2,45,200,25,0
44,8,404,16,1
4,3,436,29,1
26,6,420,21,1
992,14,405,1,0
14,8,127,13,1
498,13,105,21,0
30,16,95,27,1
719,5,75,0,0
25,11,413,14,1
548,46,792,12,0
20,20,296,25,1
473,35,586,15,0
222,43,350,10,0
12,6,246,27,1
638,41,305,27,0
45,5,413,24,1
460,24,224,8,0
42,17,474,13,1
861,32,663,20,0
693,24,710,14,0
10,19,289,11,1
30,19,1,29,1
961,36,639,22,0
8,8,382,26,1
515,8,819,28,0
38,13,401,19,1
20,7,150,11,1
752,35,756,27,0
19,10,99,25,1
30,11,487,19,1
211,50,226,5,0
726,26,189,14,0
806,0,574,6,0
29,10,370,24,1
394,50,315,3,0
531,45,963,28,0
956,10,653,3,0
23,7,424,21,1
117,36,583,1,0
7,7,321,27,1
280,32,445,3,0
27,10,343,26,1
28,1,197,13,1
99,30,298,9,0
830,1,647,6,0
36,6,14,30,1
19,13,90,10,1
23,20,409,18,1
9,0,38,25,1
41,18,143,15,1
12,6,182,14,1
0,14,79,12,1
852,17,413,23,0
4,16,6,13,1
705,48,137,18,0
626,7,135,22,0
32,10,36,19,1
3,20,171,22,1
7,1,98,23,1
722,35,691,7,0
41,18,272,26,1
746,21,941,3,0
49,11,14,15,1
238,12,379,9,0
2,1,499,13,1
27,15,131,22,1
141,8,896,4,0
711,26,435,10,0
23,7,0,23,1
31,17,413,12,1
326,0,952,23,0
295,50,477,1,0
388,10,13,12,0
11,8,28,22,1
23,8,361,25,1
254,44,315,8,0
575,11,450,9,0
33,17,256,30,1
832,21,132,20,0
31,11,431,22,1
503,26,562,26,0
40,11,285,29,1
6,9,204,23,1
42,7,485,29,1
18,5,291,19,1
22,11,119,12,1
22,18,144,14,1
211,22,349,23,0
46,8,303,23,1
32,3,422,26,1
29,20,69,22,1
44,12,255,11,1
2,44,133,1,0
914,34,385,26,0
27,20,434,18,1
978,39,771,28,0
13,2,82,11,1
501,34,250,9,0
887,12,432,15,0
581,6,578,1,0
30,15,284,27,1
767,24,941,10,0
8,7,86,10,1
39,6,11,27,1
934,33,386,7,0
740,39,291,20,0
264,33,139,7,0
780,17,378,7,0
521,1,412,10,0
868,19,641,2,0
763,9,858,15,0
2,0,154,12,1
747,8,14,27,0
22,7,195,30,1
551,42,112,19,0
530,18,67,23,0
34,13,338,21,1
25,9,481,22,1
642,47,473,29,0
39,20,85,24,1
234,25,65,21,0
414,28,747,9,0
238,25,762,14,0
190,41,417,20,0
21,5,53,11,1
50,8,67,17,1
512,10,797,9,0
39,10,278,24,1
15,18,167,12,1
10,15,256,29,1
454,42,827,21,0
481,7,82,26,0
96,21,330,3,0
125,9,403,0,0
148,50,242,28,0
527,13,184,8,0
42,2,406,11,1
719,14,588,20,0
732,17,417,10,0
18,11,352,17,1
728,7,151,28,0
4,6,121,21,1
24,15,416,17,1
7,4,139,24,1
813,16,359,0,0
33,0,447,29,1
23,10,466,12,1
10,1,107,29,1
32,6,105,20,1
43,16,11,18,1
198,0,554,19,0
38,19,607,21,0
13,4,72,16,1
344,40,780,18,0
15,1,162,29,1
230,0,800,28,0
899,20,177,24,0
32,2,238,10,1
540,31,399,11,0
25,2,175,28,1
289,4,591,19,0
497,30,964,17,0
31,10,85,22,1
778,39,573,29,0
50,13,7,17,1
33,5,134,22,1
868,20,711,26,0
366,0,434,30,0
0,9,384,30,1
37,5,5,24,1
511,9,413,19,0
473,33,363,6,0
648,48,800,7,0
954,31,787,24,0
863,48,42,0,0
320,3,657,17,0
9,19,477,16,1
618,28,997,22,0
738,41,422,17,0
485,21,526,12,0
19,41,401,12,0
26,12,489,10,1
334,40,496,28,0
1,19,131,10,1
988,50,939,13,0
122,34,200,26,0
12,16,113,11,1
823,9,28,20,0
570,1,208,11,0
38,10,7,23,1
31,20,436,26,1
30,13,166,28,1
575,22,256,7,0
399,42,104,21,0
30,2,443,17,1
24,3,224,30,1
557,11,223,14,0
1,14,364,25,1
42,17,236,12,1
940,18,773,26,0
43,7,173,10,1
365,11,757,3,0
14,16,279,28,1
711,45,970,7,0
23,3,144,22,1
389,19,348,28,0
317,30,715,16,0
973,41,770,20,0
604,1,643,28,0
868,5,443,6,0
48,20,230,16,1
23,8,395,18,1
660,31,255,13,0
44,3,374,19,1
572,18,430,22,0
34,18,290,24,1
839,15,356,27,0
2,4,74,19,1
457,0,710,23,0
41,19,285,15,1
315,23,234,25,0
597,2,618,5,0
32,2,122,23,1
876,35,681,28,0
20,6,3,29,1
40,10,70,16,1
20,17,160,16,1
45,11,180,26,1
852,47,821,3,0
37,20,202,21,1
37,5,171,13,1
4,6,406,26,1
47,17,469,11,1
261,32,33,1,0
49,5,273,30,1
23,4,140,26,1
29,6,69,29,1
37,16,183,23,1
148,33,498,20,0
230,2,986,10,0
333,8,526,25,0
174,19,435,2,0
245,25,443,25,0
19,14,300,20,1
800,33,266,0,0
34,14,446,17,1
28,2,101,11,1
12,9,413,17,1
39,20,103,21,1
295,3,857,12,0
35,15,93,11,1
392,33,350,7,0
702,41,472,28,0
29,10,142,27,1
6,19,450,25,1
965,4,416,20,0
941,1,9,2,0
23,3,415,28,1
388,39,166,29,0
7,5,460,21,1
1,14,206,29,1
30,10,195,29,1
25,3,282,15,1
16,11,219,22,1
6,18,205,14,1
45,11,176,16,1
18,17,403,22,1
626,17,995,17,0
31,19,165,22,1
40,11,51,26,1
229,32,435,7,0
518,33,127,16,0
3,18,230,21,1
417,6,234,12,0
751,7,192,23,0
230,29,167,21,0
40,7,334,22,1
5,18,404,15,1
404,15,937,18,0
787,14,791,14,0
860,40,855,13,0
15,16,389,12,1
37,11,438,25,1
762,7,665,10,0
919,16,713,11,0
9,14,473,16,1
5,1,323,27,1
44,1,109,11,1
908,1,780,23,0
5,17,59,29,1
16,20,191,22,1
37,20,437,22,1
343,23,439,29,0
291,3,448,14,0
483,47,588,1,0
30,12,458,26,1
22,19,303,27,1
971,15,335,19,0
12,0,442,26,1
333,22,33,24,0
459,17,853,8,0
718,16,1,25,0
13,12,105,24,1
805,16,618,6,0
47,12,228,21,1
232,33,928,23,0
883,28,902,22,0
8,1,158,14,1
259,17,795,0,0
335,8,126,30,0
21,1,224,30,1
38,9,319,21,1
12,4,83,14,1
14,17,256,21,1
529,32,663,5,0
349,1,870,20,0
17,18,142,13,1
36,12,489,28,1
76,1,72,9,0
752,29,627,23,0
887,39,17,21,0
850,23,698,18,0
556,18,300,15,0
682,1,903,0,0
981,13,441,28,0
859,21,962,30,0
26,16,152,18,1
61,3,355,1,0
517,17,906,13,0
61,34,543,15,0
7,15,116,30,1
1,16,126,14,1
717,4,830,1,0
8,18,404,20,1
441,38,299,14,0
9,8,216,28,1
48,13,475,13,1
425,1,306,27,0
467,12,375,10,0
110,42,338,28,0
86,23,877,25,0
52,6,431,8,0
2,2,449,25,1
881,6,573,16,0
274,36,295,11,0
32,9,171,19,1
40,15,341,19,1
869,48,107,26,0
42,3,254,16,1
9,7,442,16,1
30,5,195,11,1
417,7,930,30,0
450,23,206,24,0
399,45,561,22,0
531,7,761,26,0
15,2,186,10,1
935,42,999,22,0
168,37,217,16,0
5,13,157,23,1
15,0,476,16,1
805,24,690,8,0
721,20,444,29,0
254,17,447,17,0
869,45,207,23,0
27,18,4,15,1
130,39,225,6,0
531,30,368,17,0
35,1,190,16,1
36,16,456,26,1
6,12,278,16,0
26,20,8,21,1
21,19,257,28,1
816,12,617,17,0
38,15,101,20,1
27,18,75,28,1
514,5,252,14,0
730,43,264,25,0
545,47,612,26,0
221,37,257,7,0
43,3,253,12,1
33,3,63,29,1
544,40,888,12,0
34,7,361,28,1
67,32,177,23,0
34,32,410,15,0
19,18,85,27,1
20,13,263,15,1
47,11,167,18,1
155,26,176,30,0
11,3,54,13,1
30,4,87,30,1
327,29,161,25,0
26,20,148,17,1
8,12,230,16,1
452,33,558,13,0
129,21,631,13,0
835,22,327,28,0
185,30,215,12,0
31,18,154,13,1
22,11,438,30,1
562,32,194,30,0
40,4,345,14,1
624,1,22,2,0
732,31,898,22,0
593,11,776,8,0
42,15,398,15,1
962,13,568,23,0
45,14,48,30,1
42,4,69,13,1
723,44,509,20,0
791,6,797,13,0
3,13,406,25,1
47,17,348,23,1
30,14,23,15,1
780,46,79,2,0
315,41,150,13,0
563,28,584,27,0
1,2,376,16,1
40,14,126,13,1
15,13,301,25,1
39,11,374,17,1
12,14,59,17,1
3,6,97,19,1
34,2,294,18,1
504,44,267,24,0
20,3,144,22,1
872,32,284,8,0
267,5,495,1,0
529,7,255,20,0
28,3,472,14,1
224,35,604,11,0
36,11,162,29,1
672,16,209,21,0
27,16,302,19,1
345,22,705,13,0
35,5,80,10,1
80,7,568,27,0
311,21,374,2,0
587,26,618,6,0
36,20,187,17,1
973,29,924,2,0
44,17,404,16,1
950,48,134,26,0
33,7,14,11,1
258,39,965,19,0
2,14,216,23,1
860,2,415,24,0
39,1,60,30,1
470,17,25,29,0
243,38,908,2,0
43,6,48,18,1
564,25,750,23,0
743,27,328,27,0
703,3,630,16,0
225,32,374,19,0
970,24,492,26,0
20,19,75,11,1
469,47,569,26,0
36,1,257,25,1
816,23,337,17,0
351,6,74,7,0
44,12,109,19,1
39,15,408,19,1
12,3,136,17,1
175,11,90,10,0
297,30,294,24,0
183,42,826,9,0
95,16,712,23,0
45,8,425,23,1
12,15,434,18,1
28,15,355,13,1
38,20,60,16,1
18,16,55,30,1
676,27,299,14,0
352,35,484,7,0
589,11,103,0,0
36,4,160,10,1
9,13,73,27,1
554,23,546,23,0
1,9,109,16,1
22,19,149,12,1
31,7,243,25,1
39,9,83,23,1
447,15,589,28,0
19,0,321,22,1
50,14,318,20,1
844,14,735,17,0
665,15,497,27,0
6,15,25,20,1
106,16,767,1,0
33,20,419,20,1
0,7,119,29,1
762,22,468,15,0
1,8,79,22,1
144,37,748,26,0
151,33,194,20,0
977,2,305,21,0
348,26,694,10,0
188,24,640,15,0
44,3,482,11,1
1,6,342,10,1
487,50,769,27,0
526,8,510,26,0
11,11,306,30,1
13,10,281,14,1
45,13,205,27,1
4,18,86,18,1
37,13,365,18,1
868,31,574,25,0
549,14,82,24,0
995,18,346,21,0
916,12,923,15,0
559,32,725,30,0
483,17,653,28,0
1000,41,276,25,0
256,40,977,8,0
30,16,68,30,1
254,45,355,5,0
787,35,414,10,0
209,45,246,0,0
30,4,271,22,1
13,20,80,18,1
2,14,445,17,1
623,45,574,3,0
46,19,565,17,0
99,41,725,23,0
998,26,139,15,0
228,39,126,1,0
50,14,447,27,1
833,38,151,21,0
680,45,882,1,0
480,19,454,0,0
162,23,659,6,0
3,2,459,29,1
654,33,995,6,0
39,17,20,22,1
45,0,114,24,1
47,5,348,16,1
23,19,151,20,1
37,13,311,29,1
329,50,592,23,0
28,18,257,14,1
508,3,937,8,0
42,17,386,19,1
149,8,980,2,0
681,7,930,25,0
11,20,317,17,1
141,5,402,10,0
508,23,295,9,0
503,13,710,18,0
213,45,141,2,0
25,16,148,18,1
28,4,185,16,1
138,48,594,0,0
562,35,496,1,0
262,50,444,3,0
976,45,211,10,0
7,4,198,17,1
9,11,417,26,1
764,31,223,20,0
34,5,461,30,1
25,13,454,10,1
149,23,107,24,0
551,13,89,30,0
16,3,318,16,1
2,10,218,10,0
7,16,409,24,1
498,40,550,15,0
49,13,221,11,1
971,25,483,0,0
746,24,349,12,0
180,43,795,21,0
8,12,297,28,1
46,0,55,23,1
646,25,528,29,0
612,10,381,27,0
279,8,788,26,0
9,6,775,23,0
819,5,87,19,0
553,11,739,28,0
739,48,550,4,0
271,5,783,9,0
42,3,415,14,1
810,17,912,13,0
815,36,398,27,0
24,14,304,28,1
45,20,197,19,1
30,18,6,19,1
3,13,300,10,1
547,34,521,18,0
442,20,710,25,0
5,32,233,21,0
797,34,47,20,0
46,9,203,27,1
7,10,270,18,1
208,16,719,21,0
420,34,988,20,0
729,18,123,19,0
12,3,463,5,0
2,1,7,19,1
33,0,428,14,1
104,47,864,10,0
813,16,530,13,0
678,46,98,29,0
184,19,538,5,0
15,10,178,21,1
31,8,363,28,1
542,44,816,21,0
14,34,37,7,0
37,12,58,23,1
40,19,103,22,1
750,3,853,21,0
239,7,270,10,0
43,10,62,11,1
19,6,330,25,1
50,7,320,21,1
1,15,267,17,1
12,4,171,30,1
417,27,213,30,0
999,42,150,9,0
963,50,22,6,0
390,15,199,22,0
48,20,146,18,1
23,11,155,22,1
682,49,472,30,0
42,19,125,10,1
892,35,762,3,0
303,43,289,10,0
19,4,166,11,1
