playtime,joincount,game_interactions,tnt_ratio,grieferbool
35,3,480,10,1
63,0,950,8,0
291,6,657,18,0
647,32,302,11,0
775,44,370,5,0
403,43,306,26,0
1,8,141,15,1
19,1,499,22,1
19,8,377,17,1
544,48,111,19,0
39,19,3,13,1
424,18,218,4,0
885,9,561,21,0
26,20,226,28,1
28,12,432,11,1
11,20,80,10,1
44,19,371,26,1
142,3,462,7,0
49,6,370,11,1
41,4,210,28,1
19,14,381,26,1
452,12,872,9,0
328,34,836,6,0
15,7,320,14,1
729,10,629,5,0
27,20,45,11,1
684,11,193,15,0
50,16,292,21,1
174,6,326,4,0
452,38,684,29,0
246,50,105,4,0
902,1,468,1,0
682,35,355,13,0
4,9,470,27,1
43,11,156,12,1
13,12,15,14,1
948,47,272,15,0
953,26,678,18,0
12,16,232,25,1
626,2,9,6,0
46,13,29,18,1
43,3,402,16,1
886,38,813,7,0
12,16,346,11,1
281,31,493,9,0
723,26,117,8,0
585,9,412,11,0
29,15,430,25,1
6,2,471,25,1
772,47,708,3,0
40,20,284,29,1
312,7,841,14,0
767,18,549,10,0
560,36,678,9,0
47,7,41,12,1
523,41,430,9,0
41,4,271,18,1
459,31,267,11,0
28,2,381,19,1
38,6,228,10,1
4,8,484,11,1
524,4,810,8,0
3,19,114,14,1
369,20,115,6,0
28,12,299,16,1
28,0,329,18,1
11,2,413,24,1
434,23,743,12,0
10,8,53,16,1
21,15,463,23,1
35,6,391,12,1
201,40,930,13,0
566,25,90,6,0
795,31,549,15,0
3,4,56,24,1
0,17,197,18,1
2,13,356,27,1
39,17,147,28,1
22,11,161,12,1
358,41,552,23,0
220,16,958,8,0
668,50,196,25,0
21,8,154,24,1
131,6,896,8,0
555,42,739,15,0
640,19,893,30,0
47,14,442,18,1
8,13,448,20,1
670,34,872,11,0
771,42,32,30,0
31,1,94,26,1
505,45,745,20,0
47,8,118,28,1
699,49,576,27,0
44,5,472,16,1
642,11,167,29,0
3,11,215,14,1
47,16,260,15,1
140,10,803,26,0
35,17,162,28,1
38,1,78,24,1
748,42,729,14,0
38,10,491,21,1
31,14,184,29,1
6,11,471,29,1
480,19,960,22,0
343,24,153,6,0
836,0,410,26,0
12,2,75,11,1
9,6,68,22,1
10,17,54,30,1
274,25,725,9,0
26,20,406,15,1
7,1,337,18,1
920,9,581,18,0
275,20,705,2,0
27,12,195,28,1
22,15,43,30,1
398,30,676,16,0
14,0,433,28,1
390,17,402,20,0
11,1,221,11,1
36,12,122,14,1
197,48,924,7,0
650,1,663,30,0
738,5,568,10,0
10,10,148,14,1
297,3,561,13,0
773,9,212,30,0
17,17,146,15,1
31,5,347,25,1
256,13,843,12,0
796,35,507,25,0
48,11,477,11,1
554,23,254,7,0
613,10,161,4,0
864,25,700,10,0
517,17,724,13,0
301,37,200,0,0
498,39,265,2,0
635,36,322,25,0
135,12,279,5,0
855,7,993,12,0
7,20,263,21,1
443,49,177,11,0
509,12,842,7,0
465,26,704,2,0
272,30,756,20,0
11,13,372,20,1
318,41,302,7,0
37,3,300,15,1
38,16,134,22,1
48,10,48,12,1
147,29,649,0,0
24,15,253,27,1
20,8,443,16,1
48,11,314,26,1
266,15,219,28,0
986,18,255,13,0
38,14,337,14,1
904,4,282,14,0
1,19,465,12,1
94,16,736,29,0
552,23,177,23,0
26,10,122,16,1
33,9,98,25,1
292,6,249,14,0
53,29,863,20,0
45,9,330,14,1
12,17,97,20,1
28,13,458,22,1
33,6,230,18,1
5,4,448,28,1
10,10,61,30,1
137,33,422,11,0
154,48,790,19,0
46,7,427,12,1
925,19,295,11,0
758,26,921,24,0
431,19,764,24,0
17,6,164,11,1
87,48,301,30,0
153,50,718,11,0
30,7,26,13,1
652,30,286,26,0
6,14,161,24,1
37,19,315,30,1
517,50,687,27,0
208,7,738,10,0
654,16,778,23,0
23,11,338,27,1
50,12,214,20,1
250,13,262,1,0
179,46,60,12,0
25,17,116,18,1
31,4,146,22,1
36,13,164,13,1
847,33,339,15,0
110,15,208,4,0
492,49,159,16,0
43,0,175,30,1
15,14,433,22,1
35,17,352,16,1
802,39,536,25,0
691,23,282,11,0
32,6,118,20,1
774,47,77,8,0
208,7,171,8,0
65,31,316,28,0
26,13,30,24,1
431,24,379,4,0
120,39,317,10,0
20,17,346,10,1
919,44,979,1,0
90,38,986,12,0
185,18,690,30,0
15,14,391,25,1
44,5,398,21,1
533,46,867,9,0
875,24,225,21,0
301,15,668,8,0
10,10,214,18,1
607,16,363,6,0
761,35,886,13,0
36,14,447,14,1
120,31,178,20,0
80,14,360,17,0
988,46,387,19,0
193,38,909,11,0
4,12,173,24,1
363,41,561,23,0
42,0,205,20,1
26,19,444,16,1
50,19,315,22,1
200,9,964,27,0
578,29,949,28,0
12,15,359,11,1
49,11,106,22,1
12,2,398,27,1
989,11,500,30,0
2,2,477,19,1
32,14,25,26,1
21,20,107,12,1
287,28,900,7,0
357,28,344,19,0
29,7,202,14,1
39,19,107,12,1
743,20,499,14,0
532,11,625,17,0
24,18,225,20,1
262,43,527,30,0
140,32,272,28,0
7,14,2,16,1
10,6,313,25,1
417,7,37,22,0
999,31,911,23,0
550,49,496,12,0
43,11,472,26,1
36,10,89,26,1
959,40,235,23,0
397,11,471,13,0
19,4,650,14,0
40,15,134,29,1
216,32,720,12,0
831,24,885,15,0
57,19,977,26,0
4,17,107,16,1
728,20,834,11,0
257,27,140,24,0
297,42,164,28,0
169,27,621,14,0
305,14,80,7,0
20,17,330,16,1
977,38,201,20,0
15,19,353,29,1
40,18,19,29,1
466,7,293,24,0
4,10,207,25,1
49,10,83,24,1
23,17,491,14,1
37,19,298,20,1
992,39,99,23,0
13,17,266,28,1
9,19,110,12,1
33,15,493,22,1
16,9,253,13,1
743,2,711,7,0
43,8,432,11,1
692,35,729,11,0
12,10,219,15,1
85,0,635,1,0
3,16,292,15,1
409,35,749,9,0
888,0,968,18,0
77,24,442,15,0
523,5,745,3,0
48,17,226,22,1
28,0,450,21,1
854,9,518,9,0
21,16,343,14,1
32,8,279,29,1
3,10,71,18,1
778,46,280,26,0
42,2,70,27,1
968,46,101,0,0
774,36,33,13,0
541,7,48,3,0
36,7,308,11,1
103,42,708,24,0
782,11,305,5,0
519,15,506,10,0
442,19,647,12,0
478,18,950,28,0
733,22,335,17,0
320,22,646,7,0
24,11,300,22,1
360,35,339,1,0
511,1,339,5,0
999,1,550,4,0
421,22,664,17,0
93,27,897,14,0
145,20,121,13,0
22,9,374,11,1
26,1,450,27,1
